internship_title,company_name,location,start_date,duration,stipend,sector_name,field_name,skills_set,detailed_description
Java Development,SunbaseData,Work From Home,Immediately,6 Months,"₹ 30,000 /month",IT and Software Development,"Software Engineering, Full Stack Web Development","Java, Object-Oriented Programming, Spring Boot, SQL","As a Java Development intern at SunbaseData, you will be responsible for designing, developing, and maintaining scalable backend applications. You will collaborate with senior developers to write clean code, troubleshoot issues, and optimize application performance."
Accounting and Finance,DAKSM & Co. LLP,Noida,Immediately,6 Months,"₹ 5,000-10,000 /month","Banking and Financial Services, Finance","Auditing & Taxation, Corporate Finance & Treasury","Accounting, Financial Analysis, Tally, Excel","At DAKSM & Co. LLP, you will assist the finance team in maintaining accurate financial records, preparing tax documents, and performing audit checks. You will gain hands-on experience in financial statement analysis and corporate accounting procedures."
Sales & Digital Marketing,Bharat Natural Elements Private Limited,Bangalore,Immediately,6 Months,"₹ 5,000 /month","Renewable Energy, Retail & Consumer Durables","Digital Marketing & SEO/SEM, B2B Sales & Key Account Management","Digital Marketing, Lead Generation, SEO, Sales","Working with Bharat Natural Elements Private Limited, you will drive online visibility through digital marketing campaigns while engaging in sales outreach for sustainable products. Your day-to-day tasks will involve generating leads, managing social channels, and assisting with conversion strategies."
Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Immediately,6 Months,Unpaid,"Media, Entertainment & Education","Management Consulting & Advisory, Strategy & Corporate Development","Fundraising, Community Outreach, Project Management, Public Speaking","At Hamari Pahchan NGO, you will participate in social impact initiatives, community outreach programs, and grassroots campaigns. You will help plan and execute social entrepreneurship projects aimed at uplifting underprivileged communities."
Videography & Photography,Esquare Lifestyle,Bangalore,Immediately,6 Months,"₹ 12,000 /month",Retail & Consumer Durables,"Video Production & Motion Graphics, Graphic Design & Visual Communication","Videography, Photography, Adobe Premiere Pro, Adobe Photoshop","As a Videography & Photography intern at Esquare Lifestyle, you will capture high-quality visual content for lifestyle products and marketing campaigns. You will be responsible for shooting photos/videos and editing them to align with the brand's aesthetic."
English Curriculum Writing,Team Everest,Work From Home,Immediately,6 Months,Unpaid,"Media, Entertainment & Education",Content Strategy & Copywriting,"Content Writing, Curriculum Design, English Grammar, Editing","At Team Everest, you will conceptualize and write engaging educational curricula and learning materials in English. Your role involves structuring lessons, proofreading educational content, and ensuring it meets pedagogical standards."
Search Engine Optimization (SEO),Global Trend,Work From Home,Immediately,6 Months,"₹ 5,000 /month",IT and Software Development,Digital Marketing & SEO/SEM,"Search Engine Optimization (SEO), Keyword Research, Google Analytics, Content Optimization","At Global Trend, you will optimize website content and structure to improve organic search rankings and visibility. You will conduct keyword research, analyze traffic data using analytics tools, and implement on-page and off-page SEO strategies."
Digital Dreamweaver: Internship Odyssey In Graphic Design,Global Trend,Work From Home,Immediately,6 Months,"₹ 7,000 /month",IT and Software Development,"Graphic Design & Visual Communication, UI/UX & Product Design","Adobe Photoshop, Illustrator, Visual Design, Creative Direction","As a Graphic Design intern at Global Trend, you will create compelling visual assets for digital and print media. You will collaborate with the marketing team to design marketing collateral, social media banners, and brand graphics."
Graphic Design,Expedify,Work From Home,Immediately,6 Months,"₹ 10,000-15,000 /month","IT and Software Development, Consulting Services",Graphic Design & Visual Communication,"Adobe Creative Suite, Graphic Design, Typography, Layout Design","At Expedify, you will produce creative graphic content for various digital platforms and client projects. You will translate creative briefs into visually appealing designs while maintaining brand consistency."
Campus Ambassador,Internshala,Work From Home,Not specified,6 Months,₹2000,"Media, Entertainment & Education","Brand Management & Advertising, Social Media & Community Management","Campus Marketing, Social Media, Communication, Networking","As a Campus Ambassador for Internshala, you will represent the brand on your college campus and promote internship opportunities among students. You will organize promotional events, manage word-of-mouth campaigns, and drive student sign-ups."
